# t x y z qx qy qz qw
1726601856.641103029 9.194515135 0.139586576 2.188060977 -0.039430172 -0.161058202 -0.008138721 0.986123359
1726601856.643665075 9.254473227 0.141140208 2.207364616 -0.039492079 -0.161578667 -0.008157535 0.986035580
1726601856.646230936 9.314415247 0.142703197 2.226732817 -0.039553713 -0.162099333 -0.008176239 0.985947493
1726601856.648652077 9.374341049 0.144275558 2.246165573 -0.039615102 -0.162620198 -0.008194842 0.985859097
1726601856.651134014 9.434250490 0.145857309 2.265662879 -0.039676273 -0.163141257 -0.008213359 0.985770391
1726601856.653692961 9.494143425 0.147448466 2.285224727 -0.039737252 -0.163662505 -0.008231794 0.985681375
1726601856.656141996 9.554019712 0.149049045 2.304851107 -0.039798060 -0.164183940 -0.008250161 0.985592047
1726601856.658617973 9.613878059 0.150659034 2.324541621 -0.039858399 -0.164705555 -0.008268343 0.985502421
1726601856.661164999 9.673718325 0.152278450 2.344296255 -0.039918317 -0.165227347 -0.008286357 0.985412496
1726601856.663652897 9.733540370 0.153907307 2.364114994 -0.039977859 -0.165749311 -0.008304220 0.985322270
1726601856.666086912 9.793344055 0.155545621 2.383997825 -0.040037063 -0.166271445 -0.008321947 0.985231742
1726601856.668593884 9.853129238 0.157193407 2.403944732 -0.040095967 -0.166793741 -0.008339554 0.985140910
1726601856.671082973 9.912895781 0.158850680 2.423955702 -0.040154605 -0.167316198 -0.008357052 0.985049774
1726601856.673597097 9.972643544 0.160517456 2.444030719 -0.040213005 -0.167838811 -0.008374453 0.984958332
1726601856.676145077 10.032372387 0.162193750 2.464169767 -0.040271195 -0.168361576 -0.008391771 0.984866584
1726601856.678605080 10.092081790 0.163879567 2.484372697 -0.040329094 -0.168884489 -0.008408972 0.984774534
1726601856.681118011 10.151771616 0.165574923 2.504639491 -0.040386734 -0.169407547 -0.008426071 0.984682180
1726601856.683630943 10.211441725 0.167279831 2.524970130 -0.040444146 -0.169930746 -0.008443081 0.984589522
1726601856.686089039 10.271091980 0.168994307 2.545364597 -0.040501355 -0.170454082 -0.008460010 0.984496559
1726601856.688628912 10.330722244 0.170718366 2.565822871 -0.040558387 -0.170977551 -0.008476874 0.984403290
1726601856.691154003 10.390332377 0.172452022 2.586344934 -0.040615263 -0.171501151 -0.008493680 0.984309714
1726601856.693794012 10.449922244 0.174195290 2.606930766 -0.040672004 -0.172024876 -0.008510438 0.984215831
1726601856.696079016 10.509491705 0.175948184 2.627580346 -0.040728627 -0.172548727 -0.008527158 0.984121641
1726601856.698662043 10.569040372 0.177710713 2.648293564 -0.040785078 -0.173072697 -0.008543819 0.984027145
1726601856.701107025 10.628568109 0.179482891 2.669070397 -0.040841381 -0.173596783 -0.008560432 0.983932344
1726601856.703633070 10.688074777 0.181264733 2.689910822 -0.040897553 -0.174120985 -0.008577005 0.983837236
1726601856.706167936 10.747560243 0.183056253 2.710814817 -0.040953613 -0.174645297 -0.008593549 0.983741822
1726601856.708709002 10.807024369 0.184857465 2.731782359 -0.041009577 -0.175169716 -0.008610071 0.983646101
1726601856.711169958 10.866467020 0.186668384 2.752813425 -0.041065459 -0.175694241 -0.008626579 0.983550072
1726601856.713705063 10.925888059 0.188489024 2.773907989 -0.041121272 -0.176218869 -0.008643083 0.983453735
1726601856.716211081 10.985287352 0.190319399 2.795066028 -0.041177031 -0.176743598 -0.008659587 0.983357089
1726601856.718688965 11.044663510 0.192159489 2.816287054 -0.041232392 -0.177268423 -0.008675951 0.983260151
1726601856.721184015 11.104016400 0.194009307 2.837571035 -0.041287403 -0.177793342 -0.008692192 0.983162918
1726601856.723728895 11.163345892 0.195868866 2.858917940 -0.041342099 -0.178318351 -0.008708327 0.983065390
1726601856.726233006 11.222651855 0.197738179 2.880327739 -0.041396516 -0.178843449 -0.008724372 0.982967565
1726601856.728657961 11.281934158 0.199617261 2.901800401 -0.041450688 -0.179368631 -0.008740340 0.982869443
1726601856.731185913 11.341192669 0.201506123 2.923335892 -0.041504642 -0.179893897 -0.008756246 0.982771020
1726601856.733650923 11.400427258 0.203404779 2.944934182 -0.041558403 -0.180419242 -0.008772100 0.982672299
1726601856.736224890 11.459637796 0.205313243 2.966595237 -0.041611997 -0.180944664 -0.008787917 0.982573276
1726601856.738697052 11.518824026 0.207231523 2.988318979 -0.041665409 -0.181470161 -0.008803690 0.982473954
1726601856.741266966 11.577985819 0.209159632 3.010105372 -0.041718663 -0.181995730 -0.008819431 0.982374330
1726601856.743726015 11.637123046 0.211097584 3.031954383 -0.041771779 -0.182521369 -0.008835152 0.982274406
1726601856.746239901 11.696235577 0.213045391 3.053865978 -0.041824776 -0.183047074 -0.008850860 0.982174180
1726601856.748740911 11.755323283 0.215003065 3.075840121 -0.041877671 -0.183572846 -0.008866566 0.982073651
1726601856.751239061 11.814386035 0.216970620 3.097876778 -0.041930478 -0.184098679 -0.008882280 0.981972819
1726601856.753680944 11.873423703 0.218948068 3.119975914 -0.041983212 -0.184624574 -0.008898007 0.981871683
1726601856.756218910 11.932436160 0.220935423 3.142137492 -0.042035886 -0.185150527 -0.008913757 0.981770244
1726601856.758743048 11.991420932 0.222932622 3.164360563 -0.042087856 -0.185676534 -0.008929242 0.981668531
1726601856.761195898 12.050377897 0.224939678 3.186645080 -0.042139194 -0.186202594 -0.008944491 0.981566543
1726601856.763746023 12.109306935 0.226956601 3.208990997 -0.042189966 -0.186728701 -0.008959533 0.981464276
1726601856.766237974 12.168207925 0.228983402 3.231398266 -0.042240229 -0.187254855 -0.008974391 0.981361729
1726601856.768682003 12.227080748 0.231020091 3.253866841 -0.042290038 -0.187781052 -0.008989089 0.981258898
1726601856.771280050 12.285925282 0.233066679 3.276396674 -0.042339443 -0.188307288 -0.009003650 0.981155783
1726601856.773897886 12.344741407 0.235123176 3.298987719 -0.042388484 -0.188833561 -0.009018092 0.981052382
1726601856.776240110 12.403529004 0.237189592 3.321639926 -0.042437204 -0.189359868 -0.009032435 0.980948693
1726601856.778712988 12.462286612 0.239265894 3.344352714 -0.042485267 -0.189886205 -0.009046522 0.980844734
1726601856.781279087 12.521014116 0.241352090 3.367126027 -0.042532738 -0.190412570 -0.009060381 0.980740500
1726601856.783736944 12.579711400 0.243448190 3.389959812 -0.042579681 -0.190938957 -0.009074041 0.980635991
1726601856.786243916 12.638378350 0.245554202 3.412854015 -0.042626150 -0.191465365 -0.009087526 0.980531204
1726601856.788733006 12.697014851 0.247670136 3.435808581 -0.042672198 -0.191991790 -0.009100858 0.980426137
1726601856.791203022 12.755620788 0.249795999 3.458823456 -0.042717870 -0.192518228 -0.009114059 0.980320789
1726601856.793787003 12.814196047 0.251931801 3.481898585 -0.042763207 -0.193044677 -0.009127148 0.980215158
1726601856.796211004 12.872740514 0.254077550 3.505033914 -0.042808249 -0.193571133 -0.009140143 0.980109243
1726601856.798713923 12.931252868 0.256233212 3.528228892 -0.042852693 -0.194097591 -0.009152900 0.980003059
1726601856.801215887 12.989732999 0.258398795 3.551483461 -0.042896603 -0.194624049 -0.009165449 0.979896604
1726601856.803742886 13.048180796 0.260574308 3.574797558 -0.042940035 -0.195150504 -0.009177814 0.979789876
1726601856.806281090 13.106596152 0.262759755 3.598171124 -0.042983041 -0.195676950 -0.009190019 0.979682874
1726601856.808742046 13.164978956 0.264955146 3.621604098 -0.043025667 -0.196203386 -0.009202084 0.979575594
1726601856.811254978 13.223329099 0.267160487 3.645096419 -0.043067957 -0.196729807 -0.009214033 0.979468037
1726601856.813724041 13.281646473 0.269375784 3.668648025 -0.043109949 -0.197256210 -0.009225880 0.979360201
1726601856.816287994 13.339930968 0.271601045 3.692258855 -0.043151679 -0.197782593 -0.009237645 0.979252084
1726601856.818747997 13.398181280 0.273836233 3.715928347 -0.043192844 -0.198308948 -0.009249180 0.979143703
1726601856.821233034 13.456397307 0.276081355 3.739656434 -0.043233506 -0.198835275 -0.009260514 0.979035056
1726601856.823713064 13.514578943 0.278336415 3.763443049 -0.043273718 -0.199361568 -0.009271671 0.978926140
1726601856.826267004 13.572726084 0.280601421 3.787288125 -0.043313531 -0.199887823 -0.009282675 0.978816953
1726601856.828735113 13.630838627 0.282876377 3.811191595 -0.043352989 -0.200414040 -0.009293547 0.978707495
1726601856.831238985 13.688916467 0.285161288 3.835153391 -0.043392132 -0.200940211 -0.009304306 0.978597764
1726601856.833802938 13.746959502 0.287456160 3.859173448 -0.043430998 -0.201466336 -0.009314970 0.978487759
1726601856.836256981 13.804967629 0.289760999 3.883251696 -0.043469621 -0.201992409 -0.009325557 0.978377480
1726601856.838740110 13.862940625 0.292075805 3.907388017 -0.043507996 -0.202518428 -0.009336064 0.978266926
1726601856.841289043 13.920878388 0.294400583 3.931582343 -0.043546156 -0.203044389 -0.009346509 0.978156097
