# t x y z qx qy qz qw
1726601366.092109919 1.481456059 0.021951767 0.252449752 -0.029687832 -0.096871523 -0.001980440 0.994852059
1726601366.094696045 1.540778341 0.022910206 0.263289330 -0.029761905 -0.097332677 -0.001973582 0.994804847
1726601366.097135067 1.600096305 0.023874999 0.274184804 -0.029833689 -0.097794278 -0.001966265 0.994757440
1726601366.099618912 1.659409831 0.024846172 0.285136191 -0.029903398 -0.098256311 -0.001958527 0.994709831
1726601366.102152109 1.718718797 0.025823748 0.296143507 -0.029971231 -0.098718758 -0.001950403 0.994662017
1726601366.104634047 1.778023082 0.026807752 0.307206770 -0.030037366 -0.099181610 -0.001941925 0.994613992
1726601366.107119083 1.837322566 0.027798207 0.318325998 -0.030101965 -0.099644851 -0.001933128 0.994565754
1726601366.109684944 1.896617125 0.028795138 0.329501209 -0.030165180 -0.100108466 -0.001924040 0.994517298
1726601366.112163067 1.955898892 0.029798453 0.340730846 -0.030225104 -0.100572441 -0.001914274 0.994468684
1726601366.114659071 2.015167760 0.030808172 0.352014896 -0.030282045 -0.101036758 -0.001903878 0.994419905
1726601366.117146015 2.074423626 0.031824312 0.363353344 -0.030336282 -0.101501400 -0.001892901 0.994370953
1726601366.119652033 2.133666385 0.032846891 0.374746173 -0.030388069 -0.101966352 -0.001881388 0.994321823
1726601366.122159004 2.192895932 0.033875926 0.386193372 -0.030437639 -0.102431596 -0.001869378 0.994272510
1726601366.124618053 2.252112164 0.034911434 0.397694925 -0.030485203 -0.102897117 -0.001856913 0.994223007
1726601366.127162933 2.311314974 0.035953431 0.409250820 -0.030530954 -0.103362899 -0.001844027 0.994173311
1726601366.129654884 2.370504259 0.037001933 0.420861042 -0.030575067 -0.103828925 -0.001830755 0.994123417
1726601366.132126093 2.429673784 0.038056858 0.432524286 -0.030616122 -0.104295179 -0.001816791 0.994073372
1726601366.134663105 2.488823458 0.039118218 0.444240513 -0.030654407 -0.104761641 -0.001802185 0.994023168
1726601366.137195110 2.547953191 0.040186025 0.456009685 -0.030690182 -0.105228296 -0.001786983 0.993972799
1726601366.139645100 2.607062891 0.041260290 0.467831762 -0.030723688 -0.105695124 -0.001771230 0.993922260
1726601366.142107010 2.666152469 0.042341022 0.479706707 -0.030755141 -0.106162109 -0.001754966 0.993871545
1726601366.144613981 2.725221833 0.043428232 0.491634482 -0.030784741 -0.106629233 -0.001738231 0.993820650
1726601366.147190094 2.784270892 0.044521930 0.503615049 -0.030812667 -0.107096482 -0.001721062 0.993769571
1726601366.149602890 2.843299557 0.045622124 0.515648371 -0.030839084 -0.107563837 -0.001703491 0.993718305
1726601366.152118921 2.902303868 0.046728759 0.527733564 -0.030863163 -0.108031280 -0.001685331 0.993666880
1726601366.154647112 2.961283743 0.047841840 0.539870574 -0.030885127 -0.108498795 -0.001666624 0.993615289
1726601366.157102108 3.020239102 0.048961374 0.552059349 -0.030905180 -0.108966364 -0.001647410 0.993563530
1726601366.159693956 3.079169862 0.050087368 0.564299836 -0.030923508 -0.109433972 -0.001627729 0.993511597
1726601366.162111044 3.138075944 0.051219826 0.576591980 -0.030940283 -0.109901599 -0.001607616 0.993459487
1726601366.164649010 3.196957265 0.052358754 0.588935730 -0.030955658 -0.110369234 -0.001587105 0.993407198
1726601366.167207956 3.255813745 0.053504156 0.601331033 -0.030969773 -0.110836856 -0.001566226 0.993354726
1726601366.169653893 3.314645303 0.054656039 0.613777835 -0.030982758 -0.111304453 -0.001545011 0.993302069
1726601366.172072887 3.373449859 0.055814369 0.626275631 -0.030994228 -0.111772008 -0.001523366 0.993249241
1726601366.174599886 3.432227336 0.056979150 0.638824360 -0.031004332 -0.112239506 -0.001501328 0.993196240
